timestamp,target_timestamp,callback_time
144200.516666667,144200.533333333,144200.533968125
144200.533333333,144200.550000000,144200.550497958
144200.550000000,144200.566666667,144200.567191875
144200.566666667,144200.583333333,144200.583837042
144200.583333333,144200.600000000,144200.600511875
144200.600000000,144200.616666667,144200.617206333
144200.616666667,144200.633333333,144200.633842792
144200.633333333,144200.650000000,144200.650496500
144200.650000000,144200.666666667,144200.667221500
144200.666666667,144200.683333333,144200.683852667
144200.683333333,144200.700000000,144200.700510792
144200.700000000,144200.716666667,144200.717166667
144200.716666667,144200.733333333,144200.733828000
144200.733333333,144200.750000000,144200.750496625
144200.750000000,144200.766666667,144200.767166542
144200.766666667,144200.783333333,144200.783848417
144200.783333333,144200.800000000,144200.800528208
144200.800000000,144200.816666667,144200.817155667
144200.816666667,144200.833333333,144200.833831875
144200.833333333,144200.850000000,144200.850492375
144200.850000000,144200.866666667,144200.867189083
144200.866666667,144200.883333333,144200.883815375
144200.883333333,144200.900000000,144200.900506167
144200.900000000,144200.916666667,144200.917195792
144200.916666667,144200.933333333,144200.933868125
144200.933333333,144200.950000000,144200.950496458
144200.950000000,144200.966666667,144200.967162458
144200.966666667,144200.983333333,144200.983838583
144200.983333333,144201.000000000,144201.000544750
144201.000000000,144201.016666667,144201.017181333
144201.016666667,144201.033333333,144201.033853208
144201.033333333,144201.050000000,144201.050507708
144201.050000000,144201.066666667,144201.067174875
144201.066666667,144201.083333333,144201.083837667
144201.083333333,144201.100000000,144201.100505375
144201.100000000,144201.116666667,144201.117183417
144201.116666667,144201.133333333,144201.133847208
144201.133333333,144201.150000000,144201.150525583
144201.150000000,144201.166666667,144201.167171667
144201.166666667,144201.183333333,144201.183831208
144201.183333333,144201.200000000,144201.200492250
144201.200000000,144201.216666667,144201.217172417
144201.216666667,144201.233333333,144201.233839167
144201.233333333,144201.250000000,144201.250515667
144201.250000000,144201.266666667,144201.267170750
144201.266666667,144201.283333333,144201.283822750
144201.283333333,144201.300000000,144201.300513958
144201.300000000,144201.316666667,144201.317176417
144201.316666667,144201.333333333,144201.333876292
144201.333333333,144201.350000000,144201.350505625
144201.350000000,144201.366666667,144201.367172500
144201.366666667,144201.383333333,144201.383853375
144201.383333333,144201.400000000,144201.400534292
144201.400000000,144201.416666667,144201.417178583
144201.416666667,144201.433333333,144201.433840375
144201.433333333,144201.450000000,144201.450509917
144201.450000000,144201.466666667,144201.467166708
144201.466666667,144201.483333333,144201.483830458
144201.483333333,144201.500000000,144201.500488250
144201.500000000,144201.516666667,144201.517219917
144201.516666667,144201.533333333,144201.533826500
144201.533333333,144201.550000000,144201.550499167
144201.550000000,144201.566666667,144201.567195750
144201.566666667,144201.583333333,144201.583901167
144201.583333333,144201.600000000,144201.600531542
144201.600000000,144201.616666667,144201.617160167
144201.616666667,144201.633333333,144201.633877583
144201.633333333,144201.650000000,144201.650492917
144201.650000000,144201.666666667,144201.667172167
144201.666666667,144201.683333333,144201.683862083
144201.683333333,144201.700000000,144201.700507875
144201.700000000,144201.716666667,144201.717191625
144201.716666667,144201.733333333,144201.733854167
144201.733333333,144201.750000000,144201.750494542
144201.750000000,144201.766666667,144201.767166875
144201.766666667,144201.783333333,144201.783853375
144201.783333333,144201.800000000,144201.800500375
144201.800000000,144201.816666667,144201.817161500
144201.816666667,144201.833333333,144201.841525250
144201.833333333,144201.850000000,144201.850500583
144201.850000000,144201.866666667,144201.867149792
144201.866666667,144201.883333333,144201.883826958
144201.883333333,144201.900000000,144201.900490750
144201.900000000,144201.916666667,144201.917161583
144201.916666667,144201.933333333,144201.933818708
144201.933333333,144201.950000000,144201.950487208
144201.950000000,144201.966666667,144201.967150917
144201.966666667,144201.983333333,144201.983830458
144201.983333333,144202.000000000,144202.000501875
144202.000000000,144202.016666667,144202.017157167
144202.016666667,144202.033333333,144202.033818875
144202.033333333,144202.050000000,144202.050493917
144202.050000000,144202.066666667,144202.067163625
144202.066666667,144202.083333333,144202.083823167
144202.083333333,144202.100000000,144202.100491167
144202.100000000,144202.116666667,144202.117151083
144202.116666667,144202.133333333,144202.133798083
144202.133333333,144202.150000000,144202.150483792
144202.150000000,144202.166666667,144202.167137500
144202.166666667,144202.183333333,144202.183823042
144202.183333333,144202.200000000,144202.200492917
144202.200000000,144202.216666667,144202.217162167
144202.216666667,144202.233333333,144202.233826792
144202.233333333,144202.250000000,144202.250492542
144202.250000000,144202.266666667,144202.267158792
144202.266666667,144202.283333333,144202.283815792
144202.283333333,144202.300000000,144202.300487167
144202.300000000,144202.316666667,144202.317158375
144202.316666667,144202.333333333,144202.333821333
144202.333333333,144202.350000000,144202.350515542
144202.350000000,144202.366666667,144202.367182958
144202.366666667,144202.383333333,144202.383841000
144202.383333333,144202.400000000,144202.400496583
144202.400000000,144202.416666667,144202.417165917
144202.416666667,144202.433333333,144202.433833917
144202.433333333,144202.450000000,144202.450498167
144202.450000000,144202.466666667,144202.467165542
144202.466666667,144202.483333333,144202.483836375
144202.483333333,144202.500000000,144202.500508542
144202.500000000,144202.516666667,144202.517175083
144202.516666667,144202.533333333,144202.533832542
144202.533333333,144202.550000000,144202.550477333
144202.550000000,144202.566666667,144202.567157375
144202.566666667,144202.583333333,144202.583824917
144202.583333333,144202.600000000,144202.600490000
144202.600000000,144202.616666667,144202.617155542
144202.616666667,144202.633333333,144202.633811875
144202.633333333,144202.650000000,144202.650488250
144202.650000000,144202.666666667,144202.667142125
144202.666666667,144202.683333333,144202.683825000
144202.683333333,144202.700000000,144202.700482125
144202.700000000,144202.716666667,144202.717158667
144202.716666667,144202.733333333,144202.733825500
144202.733333333,144202.750000000,144202.750484708
144202.750000000,144202.766666667,144202.767157167
144202.766666667,144202.783333333,144202.783823917
144202.783333333,144202.800000000,144202.800487542
144202.800000000,144202.816666667,144202.817154667
144202.816666667,144202.833333333,144202.833808292
144202.833333333,144202.850000000,144202.850482458
144202.850000000,144202.866666667,144202.867164667
144202.866666667,144202.883333333,144202.883829708
144202.883333333,144202.900000000,144202.900503083
144202.900000000,144202.916666667,144202.917165292
144202.916666667,144202.933333333,144202.933856417
144202.933333333,144202.950000000,144202.950500375
144202.950000000,144202.966666667,144202.967173500
144202.966666667,144202.983333333,144202.983827167
144202.983333333,144203.000000000,144203.000495583
144203.000000000,144203.016666667,144203.017161000
144203.016666667,144203.033333333,144203.033843708
144203.033333333,144203.050000000,144203.050504708
144203.050000000,144203.066666667,144203.067157792
144203.066666667,144203.083333333,144203.083844875
144203.083333333,144203.100000000,144203.100512833
144203.100000000,144203.116666667,144203.117215333
144203.116666667,144203.133333333,144203.133833875
144203.133333333,144203.150000000,144203.150495708
144203.150000000,144203.166666667,144203.167228792
144203.166666667,144203.183333333,144203.184298250
144203.183333333,144203.200000000,144203.200560083
144203.200000000,144203.216666667,144203.217183667
144203.216666667,144203.233333333,144203.233833958
144203.233333333,144203.250000000,144203.250511958
144203.250000000,144203.266666667,144203.267171583
144203.266666667,144203.283333333,144203.283854208
